S,P,N,center_alpha
24,0.77,8,0.9745098
24,0.77,9,0.98333333
24,0.77,10,0.99019608
24,0.77,15,0.99607843
24,0.77,20,0.99607843
24,0.77,25,0.99607843
24,0.77,50,0.99607843
24,0.77,75,0.99607843
24,0.77,100,0.99607843
24,0.85,1,0.44607843
24,0.85,2,0.69215686
24,0.85,3,0.82941176
24,0.85,4,0.90490196
24,0.85,5,0.94705882
24,0.85,6,0.96960784
24,0.85,7,0.98333333
24,0.85,8,0.99019608
24,0.85,9,0.99509804
24,0.85,10,0.99607843
24,0.85,15,0.99607843
24,0.85,20,0.99607843
24,0.85,25,0.99607843
24,0.85,50,0.99607843
24,0.85,75,0.99607843
24,0.85,100,0.99607843
24,1,1,0.60196078
24,1,2,0.84215686
24,1,3,0.9372549
24,1,4,0.9745098
24,1,5,0.99019608
24,1,6,0.99509804
24,1,7,0.99901961
24,1,8,1
24,1,9,1
24,1,10,1
24,1,15,1
24,1,20,1
24,1,25,1
24,1,50,1
24,1,75,1
24,1,100,1
50,0.05,1,0.00784314
50,0.05,2,0.01568627
50,0.05,3,0.02352941
50,0.05,4,0.03137255
50,0.05,5,0.03921569
50,0.05,6,0.04705882
50,0.05,7,0.05490196
50,0.05,8,0.0627451
50,0.05,9,0.07058824
50,0.05,10,0.07843137
50,0.05,15,0.11764706
50,0.05,20,0.15686275
50,0.05,25,0.19607843
50,0.05,50,0.32156863
50,0.05,75,0.41960784
50,0.05,100,0.51764706
50,0.1,1,0.01666667
50,0.1,2,0.03333333
50,0.1,3,0.05
50,0.1,4,0.06666667
50,0.1,5,0.08333333
50,0.1,6,0.1
50,0.1,7,0.11568627
50,0.1,8,0.13137255
50,0.1,9,0.14411765
50,0.1,10,0.15686275
50,0.1,15,0.22058824
50,0.1,20,0.28235294
50,0.1,25,0.34117647
50,0.1,50,0.56176471
50,0.1,75,0.70196078
50,0.1,100,0.8
50,0.25,1,0.05686275
50,0.25,2,0.10980392
50,0.25,3,0.15980392
50,0.25,4,0.20882353
50,0.25,5,0.25490196
50,0.25,6,0.29705882
50,0.25,7,0.33529412
50,0.25,8,0.37352941
50,0.25,9,0.40882353
50,0.25,10,0.44313725
50,0.25,15,0.58333333
50,0.25,20,0.68921569
50,0.25,25,0.76862745
50,0.25,50,0.94215686
50,0.25,75,0.96764706
50,0.25,100,0.96764706
50,0.5,1,0.16568627
50,0.5,2,0.30294118
50,0.5,3,0.41764706
50,0.5,4,0.51372549
50,0.5,5,0.59509804
50,0.5,6,0.66176471
50,0.5,7,0.71666667
50,0.5,8,0.76372549
50,0.5,9,0.80392157
50,0.5,10,0.83627451
50,0.5,15,0.93333333
50,0.5,20,0.97156863
50,0.5,25,0.98921569
50,0.5,50,0.99117647
50,0.5,75,0.99117647
50,0.5,100,0.99117647
50,0.65,1,0.26666667
50,0.65,2,0.46176471
50,0.65,3,0.60490196
50,0.65,4,0.71078431
50,0.65,5,0.7872549
50,0.65,6,0.84411765
50,0.65,7,0.88529412
50,0.65,8,0.91470588
50,0.65,9,0.93627451
50,0.65,10,0.95294118
50,0.65,15,0.99019608
50,0.65,20,0.99509804
50,0.65,25,0.99509804
50,0.65,50,0.99509804
50,0.65,75,0.99509804
50,0.65,100,0.99509804
50,0.77,1,0.36764706
50,0.77,2,0.6
50,0.77,3,0.74607843
50,0.77,4,0.83823529
50,0.77,5,0.89803922
50,0.77,6,0.93529412
50,0.77,7,0.95882353
50,0.77,8,0.97352941
50,0.77,9,0.98235294
50,0.77,10,0.98921569
50,0.77,15,0.99607843
50,0.77,20,0.99607843
50,0.77,25,0.99607843
50,0.77,50,0.99607843
50,0.77,75,0.99607843
50,0.77,100,0.99607843
50,0.85,1,0.44215686
50,0.85,2,0.68823529
50,0.85,3,0.8254902
50,0.85,4,0.90294118
50,0.85,5,0.94607843
50,0.85,6,0.96960784
50,0.85,7,0.98235294
50,0.85,8,0.99019608
50,0.85,9,0.99509804
50,0.85,10,0.99607843
50,0.85,15,0.99607843
50,0.85,20,0.99607843
50,0.85,25,0.99607843
50,0.85,50,0.99607843
50,0.85,75,0.99607843
50,0.85,100,0.99607843
50,1,1,0.59901961
50,1,2,0.83921569
50,1,3,0.93529412
50,1,4,0.97352941
50,1,5,0.99019608
50,1,6,0.99509804
50,1,7,0.99901961
50,1,8,1
50,1,9,1
50,1,10,1
50,1,15,1
50,1,20,1
50,1,25,1
50,1,50,1
50,1,75,1
50,1,100,1
100,0.05,1,0.00784314
100,0.05,2,0.01568627
100,0.05,3,0.02352941
100,0.05,4,0.03137255
100,0.05,5,0.03921569
100,0.05,6,0.04705882
