p_header, p_value, plateau_index, start_r_px, end_r_px, start_r_norm, end_r_norm, tread_px, level_eff01, riser_to_next01, delta_tread_to_prev, tread_ratio_to_prev, log2_tread_ratio_to_prev
0_7     ,     0.7,            29,       4892,     4977,      61.15  ,    62.2125,       86, 0.445454548,     0.009090914, -1                 ,          0.98850575, -0.01667874
0_7     ,     0.7,            30,       4978,     5062,      62.225 ,    63.275 ,       85, 0.436363634,     0.009090907, -1                 ,          0.98837209, -0.01687382
0_7     ,     0.7,            31,       5063,     5145,      63.2875,    64.3125,       83, 0.427272727,     0.009090907, -2                 ,          0.97647059, -0.0343515
0_7     ,     0.7,            32,       5146,     5227,      64.325 ,    65.3375,       82, 0.41818182 ,     0.009090914, -1                 ,          0.98795181, -0.01748743
0_7     ,     0.7,            33,       5228,     5308,      65.35  ,    66.35  ,       81, 0.409090906,     0.009090907, -1                 ,          0.98780488, -0.017702
0_7     ,     0.7,            34,       5309,     5387,      66.3625,    67.3375,       79, 0.399999999,     0.009090907, -2                 ,          0.97530864, -0.03606925
0_7     ,     0.7,            35,       5388,     5466,      67.35  ,    68.325 ,       79, 0.390909092,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            36,       5467,     5543,      68.3375,    69.2875,       77, 0.381818185,     0.009090914, -2                 ,          0.97468354, -0.03699421
0_7     ,     0.7,            37,       5544,     5619,      69.3   ,    70.2375,       76, 0.372727271,     0.009090907, -1                 ,          0.98701299, -0.01885903
0_7     ,     0.7,            38,       5620,     5690,      70.25  ,    71.125 ,       71, 0.363636364,     0.009090907, -5                 ,          0.93421053, -0.09818039
0_7     ,     0.7,            39,       5691,     5758,      71.1375,    71.975 ,       68, 0.354545457,     0.009090914, -3                 ,          0.95774648, -0.06228428
0_7     ,     0.7,            40,       5759,     5825,      71.9875,    72.8125,       67, 0.345454543,     0.009090907, -1                 ,          0.98529412, -0.02137365
0_7     ,     0.7,            41,       5826,     5891,      72.825 ,    73.6375,       66, 0.336363636,     0.009090907, -1                 ,          0.98507463, -0.02169507
0_7     ,     0.7,            42,       5892,     5957,      73.65  ,    74.4625,       66, 0.327272729,     0.009090914, 0                  ,          1         , 0
0_7     ,     0.7,            43,       5958,     6023,      74.475 ,    75.2875,       66, 0.318181815,     0.009090907, 0                  ,          1         , 0
0_7     ,     0.7,            44,       6024,     6087,      75.3   ,    76.0875,       64, 0.309090908,     0.009090907, -2                 ,          0.96969697, -0.04439412
0_7     ,     0.7,            45,       6088,     6152,      76.1   ,    76.9   ,       65, 0.300000001,     0.009090907, 1                  ,          1.015625  , 0.02236781
